spec_version,n_assets,n_select,instance,instance_digest,tickers,feasible_set_size,f_star,f_max_feasible,delta_F,f_bar_feasible,optimum_index,n_optimal_ties,a_crit,a_crit_binding_m,a_crit_is_zero,a_heur,a_heur_over_crit,a_margin,a_margin_target,eps_A,cardinality_minima,count_within_tau_main,count_within_tau_alt,P_F_uniform_all,P_tau_main_uniform_all,P_tau_main_uniform_F,P_opt_uniform_all,P_opt_uniform_F,reference_seconds,data_start,data_end
e1-v2,12,2,0,941157873a8b,4063.T 4502.T 6758.T 6861.T 6902.T 6954.T 7203.T 7267.T 8035.T 8306.T 9432.T 9984.T,66,-0.25261168083239516,0.39640305800592135,0.6490147388383165,0.1223997236127995,1028,1,0.01071663840056869,1,False,12.999999999979208,1213.066963170965,0.19822334062316602,-0.06510597860979783,1e-06,0 -0.26332831923296385 -0.25261168083239516 -0.1558207318977729 -0.0052075779775109243 0.39001445436816096 0.99285750615431589 1.7347440580116285 2.7375811961384207 3.9397086629635063 5.380767094635492 7.0603471139049869 9.2760950942214251,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.00247199647128582,2023-08-06,2026-08-05
e1-v2,12,2,1,3798cace2ea7,4063.T 4519.T 4568.T 6367.T 6501.T 6861.T 6954.T 6971.T 7011.T 7733.T 8766.T 9202.T,66,0.15347271196197812,0.8355831493500773,0.6821104373880992,0.5098742113122612,17,1,0.17571589589173636,1,False,12.999999999983347,73.98306188526632,0.3539176455668778,0.33167346163711964,1e-06,0 -0.022243183929758242 0.15347271196197812 0.50037416842735372 1.0514317905339876 1.8959337782549337 2.9359427914909575 4.2811777580730874 5.8440480914265169 7.6959493906118244 9.9375411193052603 12.724025616196435 15.875311568585085,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.001852317713201046,2023-08-06,2026-08-05
e1-v2,12,2,2,742e2b26d834,4661.T 6098.T 6301.T 6645.T 6758.T 6857.T 6902.T 7011.T 8031.T 8766.T 9201.T 9433.T,66,-0.1375171886609703,0.4539901997668858,0.5915073884278561,0.16461732280300942,17,1,0.0,1,True,12.99999999998611,,0.15047462098089207,0.013550067071019564,1e-06,0 -0.13692355390987249 -0.13751718866097029 0.013768859744707318 0.26034159635897447 0.66997346073289266 1.1558165235097708 1.7977992534903688 2.5799106075071965 3.6096484339269854 4.8008392364608374 6.222189430256142 7.8182428397399999,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0017808470875024796,2023-08-06,2026-08-05
e1-v2,12,2,3,f66f5903076c,6367.T 6503.T 6758.T 6857.T 6861.T 6971.T 7011.T 7267.T 7974.T 8035.T 8801.T 9984.T,66,-0.08268798014019274,0.6356883806344606,0.7183763607746534,0.21256935040731337,96,1,0.054235573769679746,1,False,12.99999999998611,239.69507643069736,0.20186523904343281,0.06494068513356031,1e-06,0 -0.13692355390987249 -0.082687980140192741 0.19919511079498819 0.57545765569161933 1.1017327133167776 1.7681950353008069 2.5911183745086266 3.5818274409254629 4.7725970631465442 6.442760924336004 8.6561208978060122 11.440396955119867,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0017854515463113785,2023-08-06,2026-08-05
e1-v2,12,2,4,740c7a03908a,4519.T 6301.T 6367.T 6702.T 6971.T 7733.T 7751.T 7832.T 8316.T 9201.T 9202.T 9984.T,66,-0.3071571889127932,0.40621114868418523,0.7133683375969784,0.04528207899466317,136,1,0.0,1,True,12.999999999979208,,0.12954294170129868,-0.130937554959065,1e-06,0 -0.26047949666036369 -0.3071571889127932 -0.18671027529940432 0.010438045529388984 0.26450036860215409 0.64286081581044208 1.0909243858044024 1.6413136279181773 2.3662110664127494 3.2955547605578612 4.43976030516429 5.9828978111957936,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0017720544710755348,2023-08-06,2026-08-05
e1-v2,12,2,5,9c3650a19eba,3407.T 4543.T 6301.T 7203.T 7832.T 8031.T 8058.T 8306.T 8316.T 8766.T 8801.T 9022.T,66,0.13183357119524308,0.8282123253237159,0.6963787541284728,0.4741054671752905,2056,1,0.25134071621934995,1,False,12.999999999974966,51.7226185853215,0.42247766420937366,0.3029695191852668,1e-06,0 -0.11950714502410686 0.13183357119524308 0.60723177503050851 1.3186198259627819 2.3727273351637446 3.681258075452809 5.47024882172615 7.6803991508558838 10.403178220602728 13.746256738158721 17.693226541275806 22.488718670249032,1,2,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0017725462093949318,2023-08-06,2026-08-05
e1-v2,12,2,6,61cd771b698a,4523.T 4661.T 6367.T 6501.T 6503.T 6645.T 6702.T 6971.T 7267.T 7751.T 7832.T 7974.T,66,0.1612028492881744,1.065427225605805,0.9042243763176306,0.5533371422034675,18,1,0.24575293206339022,1,False,12.999999999975014,52.898656755890734,0.44182107852103675,0.35726999574582097,1e-06,0 -0.084550082775215807 0.16120284928817441 0.57197157338330462 1.2299892799714605 2.1356421262386807 3.2245399146003733 4.5385517147525096 6.0954321224158363 7.9394180625638642 10.29142391829922 13.264321333070834 16.742786775758606,2,5,0.01611328125,0.00048828125,0.030303030303030304,0.000244140625,0.015151515151515152,0.002161899581551552,2023-08-06,2026-08-05
e1-v2,12,2,7,6ae2087493d3,2914.T 4901.T 5108.T 5401.T 6301.T 6501.T 6902.T 7733.T 8306.T 8316.T 9201.T 9202.T,66,-0.2433183778032576,0.8983313535043548,1.1416497313076124,0.28421121375331115,2052,1,0.0,1,True,12.999999999974966,,0.2451029175931008,0.020446417975026776,1e-06,0 -0.22465549961807402 -0.2433183778032576 0.054803540042838161 0.51353098530759933 1.2018958615192505 2.0480164554691136 3.1575437548625036 4.7237604188346793 6.5948463539371707 8.8726566429330429 11.524191025710486 14.805827119244967,1,2,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0021606115624308586,2023-08-06,2026-08-05
e1-v2,12,2,8,e516d5ec7c2b,4307.T 4523.T 4568.T 4901.T 6301.T 6501.T 7267.T 8035.T 8306.T 8316.T 9022.T 9201.T,66,-0.1460625980423026,0.8714992033357167,1.0175618013780192,0.19946487406532604,12,1,0.11805440907930864,1,False,12.99999999997615,110.118716457619,0.29081914513312296,0.02670113801151172,1e-06,0 -0.26411700712161124 -0.14606259804230259 0.091410038179084774 0.4625075221253705 0.96865583212173245 1.6369172631778497 2.5602994046589713 3.6528446034948567 5.0151643243330817 6.6068278563181684 8.4143018915012178 10.741748471782593,1,9,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.002126096747815609,2023-08-06,2026-08-05
e1-v2,12,2,9,2f1babcfca89,4523.T 4568.T 4901.T 5401.T 6645.T 6758.T 6857.T 7011.T 7832.T 7974.T 8801.T 9433.T,66,-0.1375171886609703,0.5600722738521522,0.6975894625131225,0.19974823137370715,17,1,0.0,1,True,12.99999999998611,,0.1680400752662409,0.031115521356368428,1e-06,0 -0.13692355390987249 -0.13751718866097029 0.033359691146942927 0.27813019354432522 0.63520366459667343 1.1191263877295003 1.6942992051363088 2.3939434117246385 3.2907312362293291 4.3340378226830829 5.5628015207892449 6.9799295315503151,1,1,0.01611328125,0.000244140625,0.015151515151515152,0.000244140625,0.015151515151515152,0.0021026888862252235,2023-08-06,2026-08-05
